259778-1,B马华丰机械-HLHF-2,57,126
259778-2,B马华丰机械-HLHF-3,56,128
259779-0,B马千秋小学-HLHF-1,53,129
259779-1,B马千秋小学-HLHF-2,51,131
259779-2,B马千秋小学-HLHF-3,52,130
259781-0,B马怡馨家园-HLHF-1,69,84
259781-1,B马怡馨家园-HLHF-2,70,86
259781-2,B马怡馨家园-HLHF-3,71,85
259782-0,B马千秋煤矿农场-HLHF-1,83,87
259782-1,B马千秋煤矿农场-HLHF-2,82,88
259782-2,B马千秋煤矿农场-HLHF-3,81,89
273929-128,B马弯子-HLHF-1,331,82
273929-129,B马弯子-HLHF-2,330,83
273929-130,B马弯子-HLHF-3,332,81
274161-128,B马二十里铺二-HLHF-1,36,76
274161-129,B马二十里铺二-HLHF-2,37,75
274161-130,B马二十里铺二-HLHF-3,38,77
47467-0,B马常村派出所-HLHF-1,245,80
47467-1,B马常村派出所-HLHF-2,244,79
47467-2,B马常村派出所-HLHF-3,243,78
47468-0,B马东区小学-HLHF-1,258,91
47468-1,B马东区小学-HLHF-2,260,90
47468-2,B马东区小学-HLHF-3,259,92
47469-0,B马郭庄-HLHF-1,108,102
47469-1,B马郭庄-HLHF-2,110,103
47469-2,B马郭庄-HLHF-3,109,104
47470-0,B马南河-HLHF-1,31,106
47470-1,B马南河-HLHF-2,32,105
47470-2,B马南河-HLHF-3,30,107
5641-128,B马地税局西-HLHF-1,164,100
5641-129,B马地税局西-HLHF-2,162,101
5641-130,B马地税局西-HLHF-3,163,99
5660-128,B马跃进机关楼-HLHF-1,251,93
5660-129,B马跃进机关楼-HLHF-2,250,95
5660-130,B马跃进机关楼-HLHF-3,249,94
5682-128,H霍B马高速西-HLHF-1,85,284
7200-128,H霍B马高速东-HLHF-1,462,290
7201-128,B马高速公路一煤厂二-HLHF-1,184,285
7400-128,B马二高-HLHF-1,486,97
7400-129,B马二高-HLHF-2,487,98
7400-130,B马二高-HLHF-3,488,96
